date,value
2023-04-30,0
2023-05-01,0
2023-05-02,243.7
2023-05-03,245.2
2023-05-04,257.1
2023-05-05,226.8
2023-05-06,0
2023-05-07,0
2023-05-08,259.1
2023-05-09,250.6
2023-05-10,256.9
2023-05-11,235.6
2023-05-12,239.3
2023-05-13,0
2023-05-14,0
2023-05-15,268.4
2023-05-16,259.9
2023-05-17,238.4
2023-05-18,0
2023-05-19,241.9
2023-05-20,0
2023-05-21,0
2023-05-22,285.0
2023-05-23,270.5
2023-05-24,277.6
2023-05-25,269.6
2023-05-26,264.7
2023-05-27,0
2023-05-28,0
2023-05-29,0
2023-05-30,270.3
2023-05-31,273.9
2023-06-01,284.6
2023-06-02,271.8
2023-06-03,0
2023-06-04,0
2023-06-05,304.3
2023-06-06,272.8
2023-06-07,279.1
2023-06-08,0
2023-06-09,260.9
2023-06-10,0
2023-06-11,0
2023-06-12,319.4
2023-06-13,404.3
2023-06-14,297.3
2023-06-15,309.8
2023-06-16,279.5
2023-06-17,0
2023-06-18,0
2023-06-19,279.9
2023-06-20,299.9
2023-06-21,294.6
2023-06-22,301.8
2023-06-23,259.5
2023-06-24,0
2023-06-25,0
2023-06-26,299.8
2023-06-27,308.1
2023-06-28,305.2
2023-06-29,299.4
2023-06-30,273.2
2023-07-01,0
2023-07-02,0
2023-07-03,310.5
2023-07-04,302.2
2023-07-05,299.1
2023-07-06,317.8
2023-07-07,261.3
2023-07-08,0
2023-07-09,0
2023-07-10,320.3
2023-07-11,288.6
2023-07-12,332.5
2023-07-13,314.1
2023-07-14,262.2
2023-07-15,0
2023-07-16,0
2023-07-17,307.4
2023-07-18,286.6
2023-07-19,304.9
2023-07-20,306.4
2023-07-21,282.4
2023-07-22,0
2023-07-23,0
2023-07-24,307.5
2023-07-25,314.1
2023-07-26,286.0
2023-07-27,312.8
2023-07-28,282.3
2023-07-29,0
2023-07-30,0
2023-07-31,314.7
2023-08-01,307.4
2023-08-02,287.3
2023-08-03,403.1
2023-08-04,262.7
2023-08-05,0
2023-08-06,0
2023-08-07,308.4
2023-08-08,296.7
2023-08-09,290.8
2023-08-10,286.1
2023-08-11,251.5
2023-08-12,0
2023-08-13,0
2023-08-14,314.7
2023-08-15,292.1
2023-08-16,311.2
2023-08-17,320.9
2023-08-18,390.8
2023-08-19,0
2023-08-20,0
2023-08-21,309.8
2023-08-22,279.5
2023-08-23,268.1
2023-08-24,312.6
2023-08-25,277.4
2023-08-26,0
2023-08-27,0
2023-08-28,289.9
2023-08-29,271.1
2023-08-30,287.8
2023-08-31,286.4
2023-09-01,240.6
2023-09-02,0
2023-09-03,0
2023-09-04,280.9
2023-09-05,281.4
2023-09-06,272.3
2023-09-07,305.6
2023-09-08,232.7
2023-09-09,0
2023-09-10,0
2023-09-11,287.9
2023-09-12,265.4
2023-09-13,254.0
2023-09-14,251.8
2023-09-15,229.0
2023-09-16,0
2023-09-17,0
2023-09-18,280.4
2023-09-19,277.0
2023-09-20,229.9
2023-09-21,259.1
2023-09-22,203.0
2023-09-23,0
2023-09-24,0
2023-09-25,259.4
2023-09-26,252.3
2023-09-27,246.2
2023-09-28,242.7
2023-09-29,215.5
2023-09-30,0
2023-10-01,0
2023-10-02,253.1
2023-10-03,0
2023-10-04,253.2
2023-10-05,230.6
2023-10-06,198.1
2023-10-07,0
2023-10-08,0
2023-10-09,248.5
2023-10-10,225.5
2023-10-11,216.0
2023-10-12,240.4
2023-10-13,220.2
2023-10-14,0
2023-10-15,0
2023-10-16,226.5
2023-10-17,219.0
2023-10-18,207.5
2023-10-19,221.9
2023-10-20,205.3
2023-10-21,0
2023-10-22,0
2023-10-23,213.5
2023-10-24,217.6
2023-10-25,183.8
2023-10-26,213.6
2023-10-27,204.2
2023-10-28,0
2023-10-29,0
2023-10-30,201.3
2023-10-31,203.5
2023-11-01,215.2
2023-11-02,209.7
2023-11-03,169.8
2023-11-04,0
2023-11-05,0
2023-11-06,211.0
2023-11-07,178.8
2023-11-08,166.5
2023-11-09,190.4
2023-11-10,172.6
2023-11-11,0
2023-11-12,0
2023-11-13,197.0
2023-11-14,173.6
2023-11-15,148.8
2023-11-16,166.4
2023-11-17,178.1
2023-11-18,0
2023-11-19,0
2023-11-20,185.7
2023-11-21,160.1
2023-11-22,188.3
2023-11-23,143.1
2023-11-24,168.7
2023-11-25,0
2023-11-26,0
2023-11-27,193.2
2023-11-28,181.8
2023-11-29,165.0
2023-11-30,171.0
2023-12-01,135.5
2023-12-02,0
2023-12-03,0
2023-12-04,172.7
2023-12-05,164.5
2023-12-06,140.1
2023-12-07,179.4
2023-12-08,136.0
2023-12-09,0
2023-12-10,0
2023-12-11,165.1
2023-12-12,164.6
2023-12-13,177.4
2023-12-14,147.1
2023-12-15,125.7
2023-12-16,0
2023-12-17,0
2023-12-18,143.5
2023-12-19,166.1
2023-12-20,165.4
2023-12-21,133.3
2023-12-22,133.7
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,135.2
2023-12-28,164.1
2023-12-29,124.2
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,139.0
2024-01-03,135.4
2024-01-04,135.3
2024-01-05,129.5
2024-01-06,0
2024-01-07,0
2024-01-08,140.0
2024-01-09,129.1
2024-01-10,135.0
2024-01-11,149.4
2024-01-12,120.0
2024-01-13,0
2024-01-14,0
2024-01-15,152.2
2024-01-16,160.5
2024-01-17,131.8
2024-01-18,137.9
2024-01-19,112.3
2024-01-20,0
2024-01-21,0
2024-01-22,154.3
2024-01-23,119.8
2024-01-24,139.8
2024-01-25,164.7
2024-01-26,125.6
2024-01-27,0
2024-01-28,0
2024-01-29,144.6
2024-01-30,134.9
2024-01-31,134.9
2024-02-01,134.0
2024-02-02,157.5
2024-02-03,0
2024-02-04,0
2024-02-05,169.5
2024-02-06,147.3
2024-02-07,157.2
2024-02-08,154.2
2024-02-09,129.9
2024-02-10,0
2024-02-11,0
2024-02-12,0
2024-02-13,183.7
2024-02-14,161.2
2024-02-15,140.9
2024-02-16,127.3
2024-02-17,0
2024-02-18,0
2024-02-19,138.8
2024-02-20,162.8
2024-02-21,139.8
2024-02-22,153.6
2024-02-23,136.8
2024-02-24,0
2024-02-25,0
2024-02-26,177.3
2024-02-27,173.1
2024-02-28,177.7
2024-02-29,187.6
2024-03-01,137.0
2024-03-02,0
2024-03-03,0
2024-03-04,192.2
2024-03-05,155.5
2024-03-06,174.5
2024-03-07,197.7
2024-03-08,154.2
2024-03-09,0
2024-03-10,0
2024-03-11,172.0
2024-03-12,151.9
2024-03-13,168.7
2024-03-14,189.4
2024-03-15,170.5
2024-03-16,0
2024-03-17,0
2024-03-18,179.0
2024-03-19,188.7
2024-03-20,176.9
2024-03-21,189.7
2024-03-22,174.5
2024-03-23,0
2024-03-24,0
2024-03-25,189.7
2024-03-26,204.4
2024-03-27,172.4
2024-03-28,179.4
2024-03-29,194.0
2024-03-30,0
2024-03-31,0
2024-04-01,0
2024-04-02,196.9
2024-04-03,207.3
2024-04-04,221.0
2024-04-05,181.0
2024-04-06,0
2024-04-07,0
2024-04-08,222.6
2024-04-09,190.2
2024-04-10,210.9
2024-04-11,242.9
2024-04-12,191.0
2024-04-13,0
2024-04-14,0
2024-04-15,233.3
2024-04-16,205.1
2024-04-17,231.1
2024-04-18,233.3
2024-04-19,219.5
2024-04-20,0
2024-04-21,0
2024-04-22,246.4
2024-04-23,229.3
2024-04-24,240.6
2024-04-25,251.7
2024-04-26,222.3
2024-04-27,0
2024-04-28,0
2024-04-29,259.3
2024-04-30,232.5
2024-05-01,0
2024-05-02,257.2
2024-05-03,221.8
2024-05-04,0
2024-05-05,0
2024-05-06,263.0
2024-05-07,256.8
2024-05-08,241.8
2024-05-09,0
2024-05-10,237.8
2024-05-11,0
2024-05-12,0
2024-05-13,242.4
2024-05-14,284.0
2024-05-15,263.7
2024-05-16,257.6
2024-05-17,235.7
2024-05-18,0
2024-05-19,0
2024-05-20,0
2024-05-21,277.0
2024-05-22,265.1
2024-05-23,258.3
2024-05-24,265.3
2024-05-25,0
2024-05-26,0
2024-05-27,295.3
2024-05-28,262.1
2024-05-29,273.9
2024-05-30,0
2024-05-31,234.2
2024-06-01,0
2024-06-02,0
2024-06-03,425.8
2024-06-04,273.2
2024-06-05,280.4
2024-06-06,305.4
2024-06-07,247.7
2024-06-08,0
2024-06-09,0
2024-06-10,312.3
2024-06-11,293.0
2024-06-12,269.6
2024-06-13,311.8
2024-06-14,243.5
2024-06-15,0
2024-06-16,0
2024-06-17,320.6
2024-06-18,290.2
2024-06-19,305.9
2024-06-20,293.0
2024-06-21,267.5
2024-06-22,0
2024-06-23,0
2024-06-24,305.6
2024-06-25,273.9
2024-06-26,306.5
2024-06-27,309.2
2024-06-28,281.6
2024-06-29,0
2024-06-30,0
2024-07-01,306.6
2024-07-02,429.9
2024-07-03,285.6
2024-07-04,328.8
2024-07-05,269.8
2024-07-06,0
2024-07-07,0
2024-07-08,343.5
2024-07-09,279.6
2024-07-10,310.6
2024-07-11,409.3
2024-07-12,279.6
2024-07-13,0
2024-07-14,0
2024-07-15,343.0
2024-07-16,309.5
2024-07-17,300.6
2024-07-18,313.3
2024-07-19,279.1
2024-07-20,0
2024-07-21,0
2024-07-22,313.4
2024-07-23,308.0
2024-07-24,300.6
2024-07-25,316.5
2024-07-26,260.4
2024-07-27,0
2024-07-28,0
2024-07-29,313.3
2024-07-30,310.7
2024-07-31,318.7
2024-08-01,324.4
2024-08-02,263.2
2024-08-03,0
2024-08-04,0
2024-08-05,311.2
2024-08-06,282.9
2024-08-07,305.5
2024-08-08,320.3
2024-08-09,264.6
2024-08-10,0
2024-08-11,0
2024-08-12,306.2
2024-08-13,282.7
2024-08-14,283.2
2024-08-15,311.7
2024-08-16,278.8
2024-08-17,0
2024-08-18,0
2024-08-19,292.9
2024-08-20,294.3
2024-08-21,277.4
2024-08-22,298.9
2024-08-23,256.6
2024-08-24,0
2024-08-25,0
2024-08-26,274.4
2024-08-27,266.1
2024-08-28,278.3
2024-08-29,303.4
2024-08-30,247.7
2024-08-31,0
2024-09-01,0
2024-09-02,303.4
2024-09-03,278.8
2024-09-04,250.3
2024-09-05,274.2
2024-09-06,245.4
2024-09-07,0
2024-09-08,0
2024-09-09,260.8
2024-09-10,260.1
2024-09-11,278.3
2024-09-12,276.5
2024-09-13,251.9
2024-09-14,0
2024-09-15,0
2024-09-16,270.4
2024-09-17,242.6
2024-09-18,254.9
2024-09-19,244.1
2024-09-20,250.8
2024-09-21,0
2024-09-22,0
2024-09-23,253.5
2024-09-24,248.2
2024-09-25,251.7
2024-09-26,264.2
2024-09-27,213.4
2024-09-28,0
2024-09-29,0
2024-09-30,237.1
2024-10-01,255.4
2024-10-02,225.9
2024-10-03,0
2024-10-04,192.6
2024-10-05,0
2024-10-06,0
2024-10-07,245.5
2024-10-08,218.9
2024-10-09,220.5
2024-10-10,232.5
2024-10-11,233.7
2024-10-12,0
2024-10-13,0
2024-10-14,228.1
2024-10-15,231.0
2024-10-16,216.8
2024-10-17,206.2
2024-10-18,191.5
2024-10-19,0
2024-10-20,0
2024-10-21,210.9
2024-10-22,197.9
2024-10-23,207.5
2024-10-24,200.8
2024-10-25,189.0
2024-10-26,0
2024-10-27,0
2024-10-28,209.9
2024-10-29,208.8
2024-10-30,177.4
2024-10-31,188.3
2024-11-01,165.9
2024-11-02,0
2024-11-03,0
2024-11-04,195.8
2024-11-05,193.2
2024-11-06,197.0
2024-11-07,180.3
2024-11-08,179.8
2024-11-09,0
2024-11-10,0
2024-11-11,192.4
2024-11-12,194.9
2024-11-13,177.0
2024-11-14,171.5
2024-11-15,173.5
2024-11-16,0
2024-11-17,0
2024-11-18,184.1
2024-11-19,165.8
2024-11-20,177.1
2024-11-21,170.1
2024-11-22,146.4
2024-11-23,0
2024-11-24,0
2024-11-25,164.7
2024-11-26,162.1
2024-11-27,179.9
2024-11-28,168.3
2024-11-29,141.8
2024-11-30,0
2024-12-01,0
2024-12-02,178.5
2024-12-03,156.0
2024-12-04,166.3
2024-12-05,160.1
2024-12-06,133.6
2024-12-07,0
2024-12-08,0
2024-12-09,160.4
2024-12-10,123.8
2024-12-11,149.6
2024-12-12,149.0
2024-12-13,138.3
2024-12-14,0
2024-12-15,0
2024-12-16,146.9
2024-12-17,131.3
2024-12-18,137.0
2024-12-19,124.0
2024-12-20,115.7
2024-12-21,0
2024-12-22,0
2024-12-23,157.4
2024-12-24,0
2024-12-25,0
2024-12-26,0
2024-12-27,123.2
2024-12-28,0
2024-12-29,0
2024-12-30,142.9
2024-12-31,149.8
2025-01-01,0
2025-01-02,144.2
2025-01-03,124.0
2025-01-04,0
2025-01-05,0
2025-01-06,151.6
2025-01-07,141.7
2025-01-08,132.8
2025-01-09,172.3
2025-01-10,116.0
2025-01-11,0
2025-01-12,0
2025-01-13,131.7
2025-01-14,141.5
2025-01-15,141.2
2025-01-16,141.3
2025-01-17,142.3
2025-01-18,0
2025-01-19,0
2025-01-20,130.7
2025-01-21,166.8
2025-01-22,140.4
2025-01-23,169.1
2025-01-24,133.3
2025-01-25,0
2025-01-26,0
2025-01-27,152.1
2025-01-28,126.7
2025-01-29,143.6
2025-01-30,144.7
2025-01-31,125.7
2025-02-01,0
2025-02-02,0
2025-02-03,163.1
2025-02-04,118.2
2025-02-05,153.6
2025-02-06,155.4
2025-02-07,123.5
2025-02-08,0
2025-02-09,0
2025-02-10,151.7
2025-02-11,135.6
2025-02-12,140.5
2025-02-13,157.0
2025-02-14,127.6
2025-02-15,0
2025-02-16,0
2025-02-17,169.7
2025-02-18,148.8
2025-02-19,144.3
2025-02-20,153.9
2025-02-21,140.4
2025-02-22,0
2025-02-23,0
2025-02-24,165.6
2025-02-25,165.6
2025-02-26,159.8
2025-02-27,168.3
2025-02-28,133.3
2025-03-01,0
2025-03-02,0
2025-03-03,0
2025-03-04,166.6
2025-03-05,173.1
2025-03-06,175.2
2025-03-07,171.8
2025-03-08,0
2025-03-09,0
2025-03-10,189.1
2025-03-11,184.9
2025-03-12,170.8
2025-03-13,169.7
2025-03-14,173.6
2025-03-15,0
2025-03-16,0
2025-03-17,192.8
2025-03-18,178.1
2025-03-19,207.4
2025-03-20,198.9
2025-03-21,175.5
2025-03-22,0
2025-03-23,0
2025-03-24,198.0
2025-03-25,212.9
2025-03-26,174.7
2025-03-27,188.6
2025-03-28,181.9
2025-03-29,0
2025-03-30,0
2025-03-31,215.2
2025-04-01,202.0
2025-04-02,209.0
2025-04-03,209.1
2025-04-04,195.2
2025-04-05,0
2025-04-06,0
2025-04-07,239.3
2025-04-08,218.2
2025-04-09,193.3
2025-04-10,206.9
2025-04-11,208.7
2025-04-12,0
2025-04-13,0
2025-04-14,223.4
2025-04-15,210.0
2025-04-16,223.4
2025-04-17,221.6
2025-04-18,211.7
2025-04-19,0
2025-04-20,0
2025-04-21,0
2025-04-22,217.1
2025-04-23,227.8
2025-04-24,218.8
2025-04-25,200.4
2025-04-26,0
2025-04-27,0
2025-04-28,248.0
2025-04-29,222.8
2025-04-30,249.0
2025-05-01,0
2025-05-02,225.0
2025-05-03,0
2025-05-04,0
2025-05-05,248.4
2025-05-06,227.1
2025-05-07,247.5
2025-05-08,257.1
2025-05-09,234.0
2025-05-10,0
2025-05-11,0
2025-05-12,246.4
2025-05-13,239.0
2025-05-14,248.9
2025-05-15,273.8
2025-05-16,252.8
2025-05-17,0
2025-05-18,0
2025-05-19,268.3
2025-05-20,268.7
2025-05-21,279.3
2025-05-22,275.3
2025-05-23,259.6
2025-05-24,0
2025-05-25,0
2025-05-26,256.4
2025-05-27,260.8
2025-05-28,276.2
2025-05-29,0
2025-05-30,251.4
2025-05-31,0
2025-06-01,0
2025-06-02,297.8
2025-06-03,286.3
2025-06-04,411.1
2025-06-05,272.3
2025-06-06,260.3
2025-06-07,0
2025-06-08,0
2025-06-09,0
2025-06-10,269.2
2025-06-11,298.3
2025-06-12,300.9
2025-06-13,266.1
2025-06-14,0
2025-06-15,0
2025-06-16,304.5
2025-06-17,296.7
2025-06-18,294.7
2025-06-19,0
2025-06-20,365.4
2025-06-21,0
2025-06-22,0
2025-06-23,309.1
2025-06-24,414.2
2025-06-25,304.3
2025-06-26,294.7
2025-06-27,286.1
2025-06-28,0
2025-06-29,0
2025-06-30,316.9
2025-07-01,287.5
2025-07-02,288.1
2025-07-03,303.5
2025-07-04,276.0
2025-07-05,0
2025-07-06,0
2025-07-07,313.5
2025-07-08,305.7
2025-07-09,293.7
2025-07-10,332.7
2025-07-11,272.9
2025-07-12,0
2025-07-13,0
2025-07-14,315.3
2025-07-15,285.3
2025-07-16,284.3
2025-07-17,306.4
2025-07-18,265.9
2025-07-19,0
2025-07-20,0
2025-07-21,326.8
2025-07-22,300.5
2025-07-23,302.9
2025-07-24,330.8
2025-07-25,297.0
2025-07-26,0
2025-07-27,0
2025-07-28,332.0
2025-07-29,293.6
2025-07-30,291.9
2025-07-31,315.1
2025-08-01,268.9
2025-08-02,0
2025-08-03,0
2025-08-04,306.8
2025-08-05,283.0
2025-08-06,281.0
2025-08-07,304.3
2025-08-08,263.5
2025-08-09,0
2025-08-10,0
2025-08-11,308.1
2025-08-12,297.0
2025-08-13,305.6
2025-08-14,298.3
2025-08-15,259.5
2025-08-16,0
2025-08-17,0
2025-08-18,320.0
2025-08-19,294.9
2025-08-20,292.1
2025-08-21,284.5
2025-08-22,263.3
2025-08-23,0
2025-08-24,0
2025-08-25,286.1
2025-08-26,299.6
2025-08-27,279.7
2025-08-28,295.1
2025-08-29,241.8
2025-08-30,0
2025-08-31,0
2025-09-01,275.4
2025-09-02,253.3
2025-09-03,259.5
2025-09-04,284.2
2025-09-05,238.7
2025-09-06,0
2025-09-07,0
2025-09-08,298.2
2025-09-09,246.0
2025-09-10,284.3
2025-09-11,294.7
2025-09-12,216.9
2025-09-13,0
2025-09-14,0
2025-09-15,272.8
2025-09-16,269.6
2025-09-17,264.2
2025-09-18,253.3
2025-09-19,228.2
2025-09-20,0
2025-09-21,0
2025-09-22,275.2
2025-09-23,259.1
2025-09-24,241.7
2025-09-25,275.1
2025-09-26,224.0
2025-09-27,0
2025-09-28,0
2025-09-29,249.3
2025-09-30,234.3
2025-10-01,244.7
2025-10-02,243.0
2025-10-03,0
2025-10-04,0
2025-10-05,0
2025-10-06,253.9
2025-10-07,228.1
2025-10-08,247.8
2025-10-09,248.2
2025-10-10,229.6
2025-10-11,0
2025-10-12,0
2025-10-13,248.8
2025-10-14,227.5
2025-10-15,220.1
2025-10-16,246.5
2025-10-17,176.4
2025-10-18,0
2025-10-19,0
2025-10-20,241.9
2025-10-21,220.7
2025-10-22,208.3
2025-10-23,231.5
2025-10-24,186.7
2025-10-25,0
2025-10-26,0
2025-10-27,216.2
2025-10-28,193.2
2025-10-29,216.2
2025-10-30,175.9
2025-10-31,175.7
2025-11-01,0
2025-11-02,0
2025-11-03,186.0
2025-11-04,174.6
2025-11-05,176.3
2025-11-06,196.8
2025-11-07,167.1
2025-11-08,0
2025-11-09,0
2025-11-10,188.3
2025-11-11,179.7
2025-11-12,173.4
2025-11-13,187.4
2025-11-14,170.8
2025-11-15,0
2025-11-16,0
2025-11-17,205.5
2025-11-18,172.7
2025-11-19,172.7
2025-11-20,173.0
2025-11-21,163.4
2025-11-22,0
2025-11-23,0
2025-11-24,186.0
2025-11-25,178.2
2025-11-26,168.6
2025-11-27,181.3
2025-11-28,155.4
2025-11-29,0
2025-11-30,0
2025-12-01,161.7
2025-12-02,164.6
2025-12-03,144.5
2025-12-04,173.3
2025-12-05,148.7
2025-12-06,0
2025-12-07,0
2025-12-08,170.1
2025-12-09,145.7
2025-12-10,146.5
2025-12-11,152.1
2025-12-12,127.4
2025-12-13,0
2025-12-14,0
2025-12-15,150.3
2025-12-16,145.4
2025-12-17,140.4
2025-12-18,142.7
2025-12-19,123.2
2025-12-20,0
2025-12-21,0
2025-12-22,131.2
2025-12-23,136.0
2025-12-24,0
2025-12-25,0
2025-12-26,0
2025-12-27,0
2025-12-28,0
2025-12-29,152.3
2025-12-30,138.1
2025-12-31,140.9
